lotteryDrawTime,lotteryDrawNum,lotteryDrawResult,red_1,red_2,red_3,red_4,red_5,blue_1,blue_2
2008-11-22,8137,01 10 25 32 35 05 09,1,10,25,32,35,5,9
2008-11-19,8136,03 28 29 32 34 01 06,3,28,29,32,34,1,6
2008-11-17,8135,07 22 25 29 33 01 12,7,22,25,29,33,1,12
2008-11-15,8134,11 13 15 28 35 08 10,11,13,15,28,35,8,10
2008-11-12,8133,10 12 15 33 35 03 09,10,12,15,33,35,3,9
2008-11-10,8132,06 14 24 27 29 05 09,6,14,24,27,29,5,9
2008-11-08,8131,08 09 12 21 32 07 11,8,9,12,21,32,7,11
2008-11-05,8130,03 05 22 29 34 07 12,3,5,22,29,34,7,12
2008-11-03,8129,13 16 20 25 27 04 05,13,16,20,25,27,4,5
2008-11-01,8128,12 15 23 24 25 10 11,12,15,23,24,25,10,11
2008-10-29,8127,08 21 22 31 33 01 07,8,21,22,31,33,1,7
2008-10-27,8126,09 29 32 34 35 01 08,9,29,32,34,35,1,8
2008-10-25,8125,01 04 28 33 34 06 11,1,4,28,33,34,6,11
2008-10-22,8124,02 10 13 29 33 06 10,2,10,13,29,33,6,10
2008-10-20,8123,01 06 12 28 31 08 09,1,6,12,28,31,8,9
2008-10-18,8122,03 06 12 20 29 09 12,3,6,12,20,29,9,12
2008-10-15,8121,11 23 24 32 35 04 10,11,23,24,32,35,4,10
2008-10-13,8120,21 23 24 25 32 03 04,21,23,24,25,32,3,4
2008-10-11,8119,01 02 10 19 27 01 11,1,2,10,19,27,1,11
2008-10-08,8118,06 09 19 25 30 06 12,6,9,19,25,30,6,12
2008-10-06,8117,13 23 24 25 30 02 08,13,23,24,25,30,2,8
2008-10-04,8116,06 08 15 24 31 01 03,6,8,15,24,31,1,3
2008-10-01,8115,07 09 19 21 33 07 10,7,9,19,21,33,7,10
2008-09-29,8114,02 03 22 27 31 06 07,2,3,22,27,31,6,7
2008-09-27,8113,11 14 17 19 22 01 08,11,14,17,19,22,1,8
2008-09-24,8112,04 18 26 32 33 05 08,4,18,26,32,33,5,8
2008-09-22,8111,02 11 12 14 19 05 09,2,11,12,14,19,5,9
2008-09-20,8110,05 16 25 27 33 04 09,5,16,25,27,33,4,9
2008-09-17,8109,01 10 18 28 34 05 08,1,10,18,28,34,5,8
2008-09-15,8108,11 16 24 29 32 09 11,11,16,24,29,32,9,11
2008-09-13,8107,01 02 13 15 16 04 09,1,2,13,15,16,4,9
2008-09-10,8106,03 05 21 28 33 02 06,3,5,21,28,33,2,6
2008-09-08,8105,12 21 22 26 35 04 05,12,21,22,26,35,4,5
2008-09-06,8104,07 08 10 24 34 08 11,7,8,10,24,34,8,11
2008-09-03,8103,02 11 22 30 34 04 09,2,11,22,30,34,4,9
2008-09-01,8102,05 25 26 29 35 03 10,5,25,26,29,35,3,10
2008-08-30,8101,10 13 23 31 33 04 11,10,13,23,31,33,4,11
2008-08-27,8100,12 20 26 29 30 02 06,12,20,26,29,30,2,6
2008-08-25,8099,03 18 23 25 30 06 10,3,18,23,25,30,6,10
2008-08-23,8098,07 10 22 27 33 04 08,7,10,22,27,33,4,8
2008-08-20,8097,01 10 31 33 35 03 10,1,10,31,33,35,3,10
2008-08-18,8096,06 07 12 25 28 02 12,6,7,12,25,28,2,12
2008-08-16,8095,03 04 11 21 25 01 07,3,4,11,21,25,1,7
2008-08-13,8094,07 12 19 27 34 11 12,7,12,19,27,34,11,12
2008-08-11,8093,06 07 10 24 30 05 08,6,7,10,24,30,5,8
2008-08-09,8092,03 23 26 32 34 04 09,3,23,26,32,34,4,9
2008-08-06,8091,09 13 19 22 25 04 10,9,13,19,22,25,4,10
2008-08-04,8090,04 11 18 33 34 02 06,4,11,18,33,34,2,6
2008-08-02,8089,08 13 24 32 33 03 09,8,13,24,32,33,3,9
2008-07-30,8088,07 11 19 27 31 02 03,7,11,19,27,31,2,3
2008-07-28,8087,14 22 32 33 35 01 05,14,22,32,33,35,1,5
2008-07-26,8086,01 06 10 22 35 03 07,1,6,10,22,35,3,7
2008-07-23,8085,03 07 13 15 19 02 10,3,7,13,15,19,2,10
2008-07-21,8084,02 17 20 22 25 05 11,2,17,20,22,25,5,11
2008-07-19,8083,06 14 15 30 31 03 10,6,14,15,30,31,3,10
2008-07-16,8082,15 19 29 33 35 01 02,15,19,29,33,35,1,2
2008-07-14,8081,07 08 20 22 29 04 07,7,8,20,22,29,4,7
2008-07-12,8080,06 09 29 31 33 05 11,6,9,29,31,33,5,11
2008-07-09,8079,20 23 26 32 33 05 12,20,23,26,32,33,5,12
2008-07-07,8078,08 17 20 28 31 07 11,8,17,20,28,31,7,11
2008-07-05,8077,01 08 21 33 34 05 07,1,8,21,33,34,5,7
2008-07-02,8076,03 05 10 27 34 01 12,3,5,10,27,34,1,12
2008-06-30,8075,01 10 13 30 33 06 07,1,10,13,30,33,6,7
2008-06-28,8074,10 13 22 31 35 04 12,10,13,22,31,35,4,12
2008-06-25,8073,02 05 06 07 31 08 10,2,5,6,7,31,8,10
2008-06-23,8072,10 25 32 33 34 03 09,10,25,32,33,34,3,9
2008-06-21,8071,01 05 11 14 25 01 09,1,5,11,14,25,1,9
2008-06-18,8070,09 17 18 21 31 01 05,9,17,18,21,31,1,5
2008-06-16,8069,05 13 16 29 33 06 08,5,13,16,29,33,6,8
2008-06-14,8068,06 09 11 33 34 06 10,6,9,11,33,34,6,10
2008-06-11,8067,03 10 14 15 22 04 07,3,10,14,15,22,4,7
2008-06-09,8066,02 07 21 22 25 04 12,2,7,21,22,25,4,12
2008-06-07,8065,19 22 23 25 32 06 12,19,22,23,25,32,6,12
2008-06-04,8064,14 18 24 27 31 06 07,14,18,24,27,31,6,7
2008-06-02,8063,07 11 24 30 35 06 08,7,11,24,30,35,6,8
2008-05-31,8062,01 15 27 28 29 03 10,1,15,27,28,29,3,10
2008-05-28,8061,07 10 14 19 32 03 06,7,10,14,19,32,3,6
2008-05-26,8060,03 13 17 23 30 01 11,3,13,17,23,30,1,11
2008-05-24,8059,07 13 21 25 31 08 10,7,13,21,25,31,8,10
2008-05-21,8058,03 09 11 29 33 03 12,3,9,11,29,33,3,12
2008-05-19,8057,05 08 09 17 33 05 06,5,8,9,17,33,5,6
2008-05-17,8056,15 19 25 30 31 03 09,15,19,25,30,31,3,9
2008-05-14,8055,02 14 28 30 35 04 12,2,14,28,30,35,4,12
2008-05-12,8054,05 14 23 31 35 02 06,5,14,23,31,35,2,6
2008-05-10,8053,01 13 21 23 32 03 06,1,13,21,23,32,3,6
2008-05-07,8052,03 18 19 30 35 05 09,3,18,19,30,35,5,9
2008-05-05,8051,01 07 09 11 33 03 11,1,7,9,11,33,3,11
2008-05-03,8050,01 05 11 26 27 03 07,1,5,11,26,27,3,7
2008-04-30,8049,01 11 14 28 30 03 10,1,11,14,28,30,3,10
2008-04-28,8048,01 13 22 25 27 02 10,1,13,22,25,27,2,10
2008-04-26,8047,12 18 22 23 30 06 12,12,18,22,23,30,6,12
2008-04-23,8046,11 25 26 27 35 07 08,11,25,26,27,35,7,8
2008-04-21,8045,14 32 33 34 35 02 04,14,32,33,34,35,2,4
2008-04-19,8044,02 21 23 27 32 10 11,2,21,23,27,32,10,11
2008-04-16,8043,05 08 10 31 33 02 04,5,8,10,31,33,2,4
2008-04-14,8042,05 10 13 32 35 04 05,5,10,13,32,35,4,5
2008-04-12,8041,07 17 21 22 28 05 10,7,17,21,22,28,5,10
2008-04-09,8040,04 08 19 22 29 08 11,4,8,19,22,29,8,11
2008-04-07,8039,07 11 15 27 35 04 07,7,11,15,27,35,4,7
2008-04-05,8038,12 13 19 32 33 02 10,12,13,19,32,33,2,10
2008-04-02,8037,11 20 24 31 35 04 10,11,20,24,31,35,4,10
2008-03-31,8036,09 19 22 30 32 01 10,9,19,22,30,32,1,10
2008-03-29,8035,02 12 13 29 30 05 07,2,12,13,29,30,5,7
2008-03-26,8034,06 07 18 34 35 05 10,6,7,18,34,35,5,10
2008-03-24,8033,03 10 21 23 30 01 09,3,10,21,23,30,1,9
2008-03-22,8032,03 09 19 27 33 09 10,3,9,19,27,33,9,10
2008-03-19,8031,14 20 23 27 28 02 04,14,20,23,27,28,2,4
2008-03-17,8030,03 21 23 26 35 05 08,3,21,23,26,35,5,8
2008-03-15,8029,06 11 18 29 30 04 11,6,11,18,29,30,4,11
2008-03-12,8028,03 11 17 19 26 07 12,3,11,17,19,26,7,12
2008-03-10,8027,05 17 23 31 32 04 08,5,17,23,31,32,4,8
2008-03-08,8026,01 21 22 24 25 08 10,1,21,22,24,25,8,10
2008-03-05,8025,06 10 12 15 28 04 12,6,10,12,15,28,4,12
2008-03-03,8024,08 12 17 20 30 01 02,8,12,17,20,30,1,2
2008-03-01,8023,06 26 31 32 34 07 10,6,26,31,32,34,7,10
2008-02-27,8022,09 12 13 25 31 08 10,9,12,13,25,31,8,10
2008-02-25,8021,05 10 13 21 24 04 09,5,10,13,21,24,4,9
2008-02-23,8020,04 05 15 17 33 04 08,4,5,15,17,33,4,8
2008-02-20,8019,08 24 25 29 31 04 05,8,24,25,29,31,4,5
2008-02-18,8018,03 06 07 11 30 02 03,3,6,7,11,30,2,3
2008-02-16,8017,02 14 25 29 32 01 06,2,14,25,29,32,1,6
2008-02-13,8016,08 10 11 17 19 06 09,8,10,11,17,19,6,9
2008-02-04,8015,09 18 20 27 33 06 09,9,18,20,27,33,6,9
2008-02-02,8014,04 07 10 28 34 01 06,4,7,10,28,34,1,6
2008-01-30,8013,01 11 19 22 35 05 09,1,11,19,22,35,5,9
2008-01-28,8012,02 10 29 32 35 02 03,2,10,29,32,35,2,3
2008-01-26,8011,14 20 22 24 27 07 10,14,20,22,24,27,7,10
2008-01-23,8010,06 23 24 27 29 06 08,6,23,24,27,29,6,8
2008-01-21,8009,04 08 12 24 30 05 08,4,8,12,24,30,5,8
2008-01-19,8008,02 06 08 17 32 08 09,2,6,8,17,32,8,9
2008-01-16,8007,03 04 05 12 28 03 12,3,4,5,12,28,3,12
2008-01-14,8006,10 12 26 29 34 05 07,10,12,26,29,34,5,7
2008-01-12,8005,18 25 29 31 34 09 10,18,25,29,31,34,9,10
2008-01-09,8004,09 22 24 31 33 08 09,9,22,24,31,33,8,9
2008-01-07,8003,01 11 13 32 35 02 07,1,11,13,32,35,2,7
2008-01-05,8002,01 12 24 31 32 10 12,1,12,24,31,32,10,12
2008-01-02,8001,01 02 11 34 35 03 10,1,2,11,34,35,3,10
2007-12-31,7093,06 08 16 25 27 08 12,6,8,16,25,27,8,12
2007-12-29,7092,06 19 27 28 29 06 10,6,19,27,28,29,6,10
2007-12-26,7091,07 12 26 31 32 03 08,7,12,26,31,32,3,8
2007-12-24,7090,04 20 24 31 33 09 12,4,20,24,31,33,9,12
2007-12-22,7089,08 13 24 30 34 01 12,8,13,24,30,34,1,12
2007-12-19,7088,17 18 21 23 33 06 10,17,18,21,23,33,6,10
2007-12-17,7087,08 18 30 31 33 04 09,8,18,30,31,33,4,9
2007-12-15,7086,14 18 19 26 28 03 09,14,18,19,26,28,3,9
2007-12-12,7085,17 24 28 29 33 02 05,17,24,28,29,33,2,5
2007-12-10,7084,05 11 18 29 34 10 11,5,11,18,29,34,10,11
2007-12-08,7083,01 05 20 21 24 03 04,1,5,20,21,24,3,4
2007-12-05,7082,03 05 14 33 34 07 08,3,5,14,33,34,7,8
2007-12-03,7081,06 18 20 22 35 04 09,6,18,20,22,35,4,9
2007-12-01,7080,01 15 20 25 27 05 10,1,15,20,25,27,5,10
2007-11-28,7079,06 09 25 26 31 02 08,6,9,25,26,31,2,8
2007-11-26,7078,09 12 14 22 23 01 02,9,12,14,22,23,1,2
2007-11-24,7077,04 06 12 13 24 01 04,4,6,12,13,24,1,4
2007-11-21,7076,02 09 12 15 31 09 10,2,9,12,15,31,9,10
2007-11-19,7075,05 11 20 30 32 07 11,5,11,20,30,32,7,11
2007-11-17,7074,16 17 23 24 31 05 10,16,17,23,24,31,5,10
2007-11-14,7073,04 05 09 12 23 02 11,4,5,9,12,23,2,11
2007-11-12,7072,21 24 26 27 33 01 05,21,24,26,27,33,1,5
2007-11-10,7071,10 22 32 33 35 01 07,10,22,32,33,35,1,7
2007-11-07,7070,07 26 29 30 35 03 04,7,26,29,30,35,3,4
2007-11-05,7069,02 13 16 21 35 01 05,2,13,16,21,35,1,5
2007-11-03,7068,04 09 13 14 33 06 10,4,9,13,14,33,6,10
2007-10-31,7067,11 18 25 30 31 04 09,11,18,25,30,31,4,9
2007-10-29,7066,04 07 08 19 24 07 12,4,7,8,19,24,7,12
2007-10-27,7065,19 20 24 29 31 09 10,19,20,24,29,31,9,10
2007-10-24,7064,02 16 32 33 35 05 10,2,16,32,33,35,5,10
2007-10-22,7063,10 31 33 34 35 07 12,10,31,33,34,35,7,12
2007-10-20,7062,01 04 10 14 29 11 12,1,4,10,14,29,11,12
2007-10-17,7061,02 10 19 28 29 02 09,2,10,19,28,29,2,9
2007-10-15,7060,12 13 29 30 31 04 07,12,13,29,30,31,4,7
2007-10-13,7059,04 15 23 31 33 03 09,4,15,23,31,33,3,9
2007-10-10,7058,08 21 25 28 33 02 06,8,21,25,28,33,2,6
2007-10-08,7057,14 16 30 32 35 06 07,14,16,30,32,35,6,7
2007-10-06,7056,04 11 17 20 21 05 09,4,11,17,20,21,5,9
2007-10-03,7055,10 16 24 31 33 07 10,10,16,24,31,33,7,10
2007-10-01,7054,04 10 19 29 34 03 06,4,10,19,29,34,3,6
2007-09-29,7053,11 16 19 21 25 01 10,11,16,19,21,25,1,10
2007-09-26,7052,01 14 29 32 33 05 10,1,14,29,32,33,5,10
2007-09-24,7051,03 07 24 28 35 08 11,3,7,24,28,35,8,11
2007-09-22,7050,13 21 22 30 35 01 11,13,21,22,30,35,1,11
2007-09-19,7049,09 10 15 17 32 04 06,9,10,15,17,32,4,6
2007-09-17,7048,08 25 26 29 35 06 08,8,25,26,29,35,6,8
2007-09-15,7047,01 06 15 19 35 02 09,1,6,15,19,35,2,9
2007-09-12,7046,04 16 18 23 30 01 10,4,16,18,23,30,1,10
2007-09-10,7045,09 16 20 26 35 11 12,9,16,20,26,35,11,12
2007-09-08,7044,04 05 07 12 26 01 10,4,5,7,12,26,1,10
2007-09-05,7043,04 09 22 24 31 02 06,4,9,22,24,31,2,6
2007-09-03,7042,07 10 22 31 35 05 06,7,10,22,31,35,5,6
2007-09-01,7041,03 16 17 22 35 01 08,3,16,17,22,35,1,8
2007-08-29,7040,05 21 25 28 35 01 04,5,21,25,28,35,1,4
2007-08-27,7039,10 11 20 21 35 07 11,10,11,20,21,35,7,11
2007-08-25,7038,06 21 25 27 32 08 09,6,21,25,27,32,8,9
2007-08-22,7037,01 06 07 17 31 11 12,1,6,7,17,31,11,12
2007-08-20,7036,15 18 21 27 34 01 02,15,18,21,27,34,1,2
2007-08-18,7035,07 11 16 31 32 01 12,7,11,16,31,32,1,12
2007-08-15,7034,06 08 11 13 22 02 11,6,8,11,13,22,2,11
2007-08-13,7033,01 05 08 14 22 03 12,1,5,8,14,22,3,12
2007-08-11,7032,01 13 21 23 32 04 11,1,13,21,23,32,4,11
2007-08-08,7031,03 21 27 31 32 06 08,3,21,27,31,32,6,8
2007-08-06,7030,11 14 27 33 35 02 07,11,14,27,33,35,2,7
2007-08-04,7029,15 22 25 29 35 09 11,15,22,25,29,35,9,11
2007-08-01,7028,20 26 30 34 35 03 10,20,26,30,34,35,3,10
2007-07-30,7027,02 03 10 19 27 06 10,2,3,10,19,27,6,10
2007-07-28,7026,05 09 13 33 35 01 08,5,9,13,33,35,1,8
2007-07-25,7025,22 24 26 27 34 02 10,22,24,26,27,34,2,10
2007-07-23,7024,06 16 20 25 31 04 09,6,16,20,25,31,4,9
2007-07-21,7023,08 10 23 32 34 08 10,8,10,23,32,34,8,10
2007-07-18,7022,08 10 12 23 25 03 10,8,10,12,23,25,3,10
2007-07-16,7021,02 04 24 29 33 01 02,2,4,24,29,33,1,2
2007-07-14,7020,02 06 11 12 18 05 12,2,6,11,12,18,5,12
2007-07-11,7019,03 06 17 22 23 04 06,3,6,17,22,23,4,6
2025-07-16,25080,09 10 18 22 24 03 12,09,10,18,22,24,03,12
2025-07-14,25079,02 14 32 34 35 05 11,02,14,32,34,35,05,11
2025-07-12,25078,07 10 15 21 24 05 06,07,10,15,21,24,05,06
2025-07-09,25077,12 14 16 19 28 01 04,12,14,16,19,28,01,04
2025-07-07,25076,11 18 22 25 29 04 12,11,18,22,25,29,04,12
2025-07-05,25075,08 12 16 19 35 06 09,08,12,16,19,35,06,09
2025-07-02,25074,02 11 15 18 21 05 10,02,11,15,18,21,05,10
2025-06-30,25073,01 04 17 33 34 03 09,01,04,17,33,34,03,09
2025-06-28,25072,04 07 15 24 29 01 04,04,07,15,24,29,01,04
2025-06-25,25071,01 08 25 31 33 05 11,01,08,25,31,33,05,11
2025-06-23,25070,08 09 15 20 22 04 12,08,09,15,20,22,04,12
2025-06-21,25069,04 06 07 33 34 09 10,04,06,07,33,34,09,10
2025-06-18,25068,01 04 17 20 22 04 10,01,04,17,20,22,04,10
2025-06-16,25067,06 10 12 21 22 01 06,06,10,12,21,22,01,06
2025-06-14,25066,15 18 27 28 34 03 06,15,18,27,28,34,03,06
2025-06-11,25065,07 25 32 33 35 04 09,07,25,32,33,35,04,09
2025-06-09,25064,05 10 18 20 34 01 08,05,10,18,20,34,01,08
2025-06-07,25063,05 18 26 29 32 07 10,05,18,26,29,32,07,10
2025-06-04,25062,14 20 27 28 29 06 10,14,20,27,28,29,06,10
2025-06-02,25061,02 11 16 23 28 05 10,02,11,16,23,28,05,10
2025-05-31,25060,12 14 19 33 34 01 07,12,14,19,33,34,01,07
2025-05-28,25059,03 09 10 11 26 01 02,03,09,10,11,26,01,02
2025-05-26,25058,06 11 15 21 23 01 07,06,11,15,21,23,01,07
2025-05-24,25057,09 10 11 12 29 01 10,09,10,11,12,29,01,10
2025-05-21,25056,12 15 28 29 32 08 11,12,15,28,29,32,08,11
2025-05-19,25055,08 10 25 29 30 01 02,08,10,25,29,30,01,02
2025-05-17,25054,03 12 16 21 29 01 02,03,12,16,21,29,01,02
2025-05-14,25053,14 23 29 30 33 06 12,14,23,29,30,33,06,12
2025-05-12,25052,02 04 11 29 30 02 08,02,04,11,29,30,02,08
2025-05-10,25051,02 04 13 29 31 05 12,02,04,13,29,31,05,12
